PartitionKey,RowKey,Timestamp,ChainId,ChainName,Kardex,StoreId,StoreName,Address,City,Zipcode,Active,Phone,CvrNumber,ValidFrom,MondayFrom,MondayTo,TuesdayFrom,TuesdayTo,WednesdayFrom,WednesdayTo,ThursdayFrom,ThursdayTo,FridayFrom,FridayTo,SaturdayFrom,SaturdayTo,SundayFrom,SundayTo
119,20180704,2018-07-03T21:23:39.016Z,4,Dagli'Brugsen,3258,119,Dagli'Brugsen Gørding,Nørregade 82-90,GØRDING,6690,false,75178311,26259495,2018-07-04T00:00:00.000Z,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00
119,20181107,2018-11-06T23:23:41.966Z,3,SuperBrugsen,4125,119,Bruges ikke,Østergade 8,GLUMSØ,4171,false,57646090,10708915,2018-11-07T00:00:00.000Z,08:00,19:00,08:00,19:00,08:00,19:00,08:00,19:00,08:00,19:00,08:00,19:00,08:00,19:00
119,20181115,2018-11-14T22:23:39.671Z,3,SuperBrugsen,4125,119,SuperBrugsen Glumsø,Østergade 8,GLUMSØ,4171,false,57646090,10708915,2018-11-15T00:00:00.000Z,08:00,19:00,08:00,19:00,08:00,19:00,08:00,19:00,08:00,19:00,08:00,19:00,08:00,19:00
119,20181126,2018-11-26T07:23:37.180Z,3,SuperBrugsen,4125,119,SuperBrugsen Glumsø,Østergade 8,GLUMSØ,4171,true,57646090,10708915,2018-11-26T00:00:00.000Z,08:00,19:00,08:00,19:00,08:00,19:00,08:00,19:00,08:00,19:00,08:00,19:00,08:00,19:00
119,20181220,2018-12-19T13:23:39.109Z,3,SuperBrugsen,4125,119,SuperBrugsen Glumsø,Østergade 8,GLUMSØ,4171,true,57646090,10708915,2018-12-20T00:00:00.000Z,08:00,19:00,08:00,19:00,08:00,19:00,08:00,19:00,07:00,19:00,07:00,19:00,07:00,19:00
119,20190306,2019-03-05T12:23:36.962Z,3,SuperBrugsen,4125,119,SuperBrugsen Glumsø,Østergade 8,GLUMSØ,4171,true,57646090,10708915,2019-03-06T00:00:00.000Z,08:00,19:00,08:00,19:00,08:00,19:00,08:00,19:00,08:00,19:00,08:00,19:00,08:00,19:00
12,20000101,2017-08-11T12:23:36.553Z,3,SuperBrugsen,2868,12,SuperBrugsen Øster Bordingvej,Øster Bordingvej 1,SILKEBORG,8600,true,87706744,26259495,2000-01-01T00:00:00.000Z,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00
12,20180424,2018-04-23T12:23:40.266Z,3,SuperBrugsen,2868,12,SuperBrugsen Øster Bordingvej,Øster Bordingvej 1,SILKEBORG,8600,true,87706744,26259495,2018-04-24T00:00:00.000Z,08:00,21:00,08:00,21:00,08:00,21:00,08:00,21:00,08:00,21:00,08:00,21:00,08:00,21:00
12,20180614,2018-06-14T07:23:35.857Z,3,SuperBrugsen,2868,12,SuperBrugsen Øster Bordingvej,Øster Bordingvej 1,SILKEBORG,8600,true,87706744,26259495,2018-06-14T00:00:00.000Z,08:00,20:45,08:00,20:45,08:00,20:45,08:00,20:45,08:00,20:45,08:00,20:45,08:00,20:45
120,20000101,2017-08-11T12:23:57.664Z,2,Kvickly,1600,120,Kvickly Taastrup,Taastrup Torv 18,TAASTRUP,2630,true,43300179,26259495,2000-01-01T00:00:00.000Z,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00
